Instance,Model Status,Elapsed Time [s],Total Seconds [s],Compilation Time [s],Execution Time [s],Generation Time [s],Solver Time [s],Startup Time [s],Closedown Time [s],Highwater RSS [GB],Highwater VSS [GB],# Rows,# Columns,# Non Zeros,# Non Zeros per s,"RHS [min, max]","Bound [min, max]","Matrix [min, max]"
1p5C_OS_SSP2,FEASIBLE SOLUTION,73.614,68.703,1.156,39.797000000000004,13.141,27.734,0.016,0.0,2.85,3.2,624436,863666,4650991,353929.7618141694,"9.222E-05, 3.258E+06","7.001E-06, 6.612E+07","6.977E-09, 2.535E+06"
BAU_IND_V2,OPTIMAL,7391.954,7378.953,2.515,164.48499999999967,112.921,7211.937,0.016,0.0,22.82,26.23,6750106,6399364,40479629,358477.4222686657,"1.566E-14, 2.285E+05","3.516E-09, 5.000E+04","1.623E-07, 3.352E+06"
BEAM-ME_Instances/672_11_8,OPTIMAL,12698.881,12672.859,0.688,345.09300000000076,244.64,12327.078,0.0,0.0,63.11,70.12,21108711,15111159,124095043,507255.7349574886,"4.097E-06, 5.940E+05","2.680E-02, 2.676E+05","1.882E-04, 1.663E+04"
BEAM-ME_Instances/672_22_8,INTERMEDIATE INFEASIBLE,43923.211,43865.219,1.031,630.75,431.984,43233.438,0.0,0.0,119.54,163.72,37645140,27331345,218532379,505880.72474906483,"1.405E-06, 5.940E+05","8.298E-03, 2.676E+05","2.675E-04, 1.663E+04"
E4SMA,FEASIBLE SOLUTION,1376.435,1358.422,2.235,136.04700000000003,54.594,1220.125,0.015,0.0,17.91,19.94,4229763,4437740,32382036,593142.7629409825,"7.402E-16, 4.407E+06","9.557E-06, 1.000E+09","1.258E-09, 1.610E+06"
GAZNAT_V1_Instance,FEASIBLE SOLUTION,14688.613,14676.016,3.109,136.71899999999914,92.281,14536.172,0.016,0.0,19.17,20.62,5336684,4555729,34188921,370487.1100226482,"1.566E-14, 2.291E+05","3.516E-09, 3.000E+06","1.623E-07, 3.352E+06"
Offshore,FEASIBLE SOLUTION,535.639,525.781,1.078,164.20300000000003,111.282,360.469,0.031,0.0,7.31,8.16,3326614,2091377,13911856,125014.43180388563,"1.000E+00, 6.000E+03","NA, NA","2.546E-05, 2.735E+06"
POLIZERO_V1_Instance,FEASIBLE SOLUTION,2855.53,2834.969,4.593,233.1880000000001,113.031,2597.172,0.016,0.0,22.64,24.69,5640942,6991820,48190465,426347.3294936787,"7.918E-19, 5.440E+05","3.837E-19, 1.000E+07","7.309E-08, 4.178E+06"
POLIZERO_V2_Instance,FEASIBLE SOLUTION,4926.915,4880.328,4.172,413.5159999999996,186.703,4462.625,0.015,0.0,36.28,40.14,10540301,13847195,69064648,369917.1839766902,"1.918E-18, 8.825E+06","1.823E-19, 2.919E+07","9.620E-19, 2.269E+06"
TIMES-DK-Instance,OPTIMAL,152.682,151.344,2.031,16.14099999999999,7.796,133.172,0.0,0.0,2.65,4.01,867042,1031037,4740351,608049.1277578245,"3.577E-08, 7.453E+04","4.606E-05, 4.500E+04","1.909E-09, 4.282E+06"
UK-TIMES,OPTIMAL,100.095,97.782,0.875,19.625,10.969,77.282,0.0,0.0,3.03,3.28,875780,932609,6883510,627542.164281156,"4.659E-05, 6.697E+05","6.000E-04, 5.867E+05","2.793E-11, 3.746E+05"
